Name,Date,Time,Latitude,Longitude,Magnetic Reading,Anomaly(nT),Correction_Diurnal,Altitude MSL(m),IGRF
base mag koople,11/29/2021,9:33:03,16.896265,79.15464333,42803,422,,305.5035409,43225
101,11/29/2021,9:41:32,16.878587,79.1716075,42805,420,5.22,0,43225
102,11/29/2021,9:58:09,16.898845,79.1557351,42890,335,9.86,0,43225
103,11/29/2021,10:01:32,16.895203,79.15844167,42656,569,16.24,287.5035673,43225
104,11/29/2021,10:04:21,16.888523,79.16305833,42982,243,17.98,286.474939,43225
105,11/29/2021,10:07:32,16.885755,79.16648667,42764,461,19.72,277.7652843,43225
106,11/29/2021,10:10:13,16.882212,79.169535,42833,392,20.3,277.450917,43225
107,11/29/2021,10:12:49,16.873242,79.1737236,42804,421,21.46,0,43225
108,11/29/2021,10:15:46,16.875678,79.17371167,42678,547,24.94,277.4222346,43225
109,11/29/2021,10:18:10,16.873137,79.17672833,42792,433,26.68,277.4130834,43225
110,11/29/2021,10:22:32,16.870953,79.178185,42450,775,27.84,277.3035547,43225
111,11/29/2021,10:24:24,16.870380,79.18244333,42840,385,29,276.9066839,43225
112,11/29/2021,10:26:23,16.867743,79.18545167,42786,439,31.32,275.6969577,43225
113,11/29/2021,10:29:15,16.868898,79.1878299,42793,432,31.9,0,43225
114,11/29/2021,10:31:44,16.861335,79.190545,42540,685,33.06,267.170028,43225
115,11/29/2021,10:34:15,16.859447,79.194825,42380,845,34.8,268.1660701,43225
116,11/29/2021,10:37:11,16.856307,79.19727,42777,448,36.54,266.5527419,43225
117,11/29/2021,10:39:14,16.854087,79.20131833,42870,355,39.44,276.0466223,43225
118,11/29/2021,10:41:08,16.852200,79.20563333,42620,605,41.18,273.5426493,43225
119,11/29/2021,10:43:57,16.855074,79.2015815,42675,550,43.5,0,43225
120,11/29/2021,10:47:06,16.851767,79.21513833,42530,695,45.82,264.753879,43225
121,11/29/2021,10:50:06,16.849775,79.2114532,42820,405,47.56,0,43225
122,11/29/2021,10:53:16,16.850537,79.22180333,42630,595,49.3,246.9567456,43225
123,11/29/2021,10:55:57,16.851933,79.22608333,42724,501,51.04,246.6703934,43225
124,11/29/2021,10:59:27,16.854335,79.22821167,42206,1019,5.22,252.6864198,43225
125,11/29/2021,11:02:19,16.851700,79.23136167,42203,1022,5.22,242.9766614,43225
126,11/29/2021,11:05:22,16.849703,79.23475167,42555,670,5.22,240.970679,43225
127,11/29/2021,11:07:58,16.847857,79.239305,42678,547,5.22,243.6671436,43225
128,11/29/2021,11:11:18,16.848365,79.243125,42205,1020,5.22,251.2753318,43225
129,11/29/2021,11:15:06,16.848377,79.24313,42644,581,5.22,251.2754022,43225
130,11/29/2021,11:34:08,16.842935,79.24678667,42660,565,5.22,-114.0489767,43225
131,11/29/2021,11:38:25,16.841082,79.252465,42527,698,5.22,243.3471788,43225
132,11/29/2021,11:40:07,16.840767,79.25302833,42250,975,5.22,243.3458515,43225
